date,Ridership,weather,day temp,night temp,barclays-center_event_occurred,beacon-theatre_event_occurred,blue-note-jazz-club_event_occurred,brooklyn-bowl_event_occurred,carnegie-hall_event_occurred,city-winery-the-loft_event_occurred,total_comedy,total_events,total_film-screenings,forest-hills-stadium_event_occurred,irving-plaza_event_occurred,kings-theatre_event_occurred,lincoln-center_event_occurred,madison-square-garden_event_occurred,mercury-lounge_event_occurred,metlife-stadium_event_occurred,total_music,palladium-times-square_event_occurred,radio-city-music-hall_event_occurred,sony-hall_event_occurred,terminal-5_event_occurred,the-bowery-ballroom_event_occurred,the-town-hall_event_occurred,yankee-stadium_event_occurred
2/19/20,,,,,0,0,1,1,0,0,18,130,13,0,0,0,0,0,0,0,75,0,0,1,0,1,1,0
2/20/20,,,,,1,0,1,1,0,0,9,145,3,0,0,1,0,1,0,0,15,0,1,1,0,1,1,0
2/21/20,,,,,1,0,1,1,0,0,12,198,4,0,0,0,0,1,0,0,116,0,0,1,0,0,1,0
2/22/20,,,,,1,0,1,1,0,0,15,222,17,0,0,1,0,1,0,0,36,0,0,1,0,1,1,0
2/23/20,,,,,1,0,1,1,0,0,8,134,16,0,0,0,0,0,0,0,73,0,0,1,1,0,1,0
2/24/20,,,,,1,0,1,0,0,0,12,97,7,0,0,0,0,0,0,0,48,0,0,0,0,0,1,0
2/25/20,,,,,0,0,1,1,1,0,12,125,10,0,0,0,0,0,0,0,56,0,0,0,0,1,0,0
2/26/20,,,,,0,0,1,0,0,0,14,125,11,0,0,0,0,0,0,0,61,0,0,0,0,1,0,0
2/27/20,,,,,0,1,1,1,0,0,13,172,3,0,0,1,0,0,0,0,95,0,0,1,0,1,0,0
2/28/20,,,,,1,1,1,1,0,0,13,197,1,0,0,0,0,1,0,0,21,0,0,1,1,1,0,0
2/29/20,,,,,1,1,1,1,0,0,15,223,18,0,0,0,0,1,0,1,119,0,0,0,1,0,0,0
3/1/20,2212965,Few clouds,41,27,0,1,1,1,0,0,9,128,15,0,0,0,0,1,0,0,74,0,0,1,0,0,1,0
3/2/20,5329915,Clear sky,54,37,1,1,1,1,0,0,8,71,12,0,0,0,0,1,0,0,37,0,0,0,0,0,1,0
3/3/20,5481103,Overcast clouds,57,52,1,0,1,1,0,0,14,101,8,0,0,0,0,1,0,0,56,0,0,1,1,0,0,0
3/4/20,5498809,Clear sky,54,50,1,0,1,1,0,0,10,108,10,0,0,0,0,1,0,0,59,0,0,1,0,1,1,0
3/5/20,5496453,Clear sky,50,45,1,0,1,1,0,0,10,153,2,0,0,0,0,1,0,0,59,0,1,1,0,1,1,0
3/6/20,5189447,Drizzle,45,43,1,1,1,1,0,0,15,197,2,0,0,0,0,1,0,0,112,0,0,1,0,1,1,0
3/7/20,2814637,Clear sky,45,37,1,1,1,1,0,0,21,241,28,0,0,0,0,1,0,1,12,0,0,1,1,1,1,0
3/8/20,2120656,Clear sky,55,36,1,0,1,1,0,0,13,174,25,0,0,0,0,1,0,1,70,0,0,1,0,0,0,0
3/9/20,4973513,Clear sky,66,48,0,0,1,0,0,0,24,109,20,0,0,0,0,0,0,0,48,0,0,0,0,1,1,0
3/10/20,4867818,Overcast clouds,61,52,0,0,1,1,0,0,22,161,23,0,0,0,0,1,0,0,83,0,1,0,0,1,0,0
3/11/20,4697122,Broken clouds,54,54,1,0,1,1,0,0,19,176,25,0,0,0,0,1,0,0,33,0,1,0,0,1,1,0
3/12/20,4149505,Overcast clouds,50,45,0,1,1,0,0,0,18,192,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
3/13/20,3484996,Partly cloudy,64,48,0,0,1,0,0,0,29,198,3,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0
3/14/20,1670665,Few clouds,54,48,0,0,1,0,0,0,29,235,23,0,0,0,0,0,0,1,48,0,0,0,0,0,0,0
3/15/20,1157711,Clear sky,52,45,0,0,1,0,0,0,24,143,19,0,0,0,0,0,0,1,44,0,0,1,0,0,0,0
3/16/20,2178555,Broken clouds,45,39,0,0,1,0,0,0,26,110,15,0,0,0,0,0,0,0,47,0,0,1,0,0,0,0
3/17/20,1788786,Drizzle,52,43,0,0,1,0,0,0,23,126,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0,0
3/18/20,1625280,Broken clouds,52,46,0,0,1,0,0,0,20,128,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
3/19/20,1422112,Overcast clouds,54,45,0,0,1,0,0,0,24,98,1,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0
3/20/20,1309125,Light intensity drizzle,68,50,0,0,1,0,0,0,23,202,18,0,0,0,0,0,0,0,95,0,0,1,0,0,0,0
3/21/20,619618,Clear sky,50,57,0,0,1,0,0,0,26,231,7,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0
3/22/20,408723,Broken clouds,41,39,0,0,1,0,0,0,14,137,4,0,0,0,0,0,0,0,74,0,0,1,0,0,0,0
3/23/20,709499,Heavy intensity rain,36,37,0,0,1,0,0,0,21,109,10,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
3/24/20,741587,Broken clouds,54,39,0,1,1,0,0,0,22,118,15,0,0,0,0,0,0,0,47,0,0,0,0,1,0,0
3/25/20,690032,Drizzle,45,43,0,0,1,0,0,0,18,174,23,0,0,0,0,0,0,0,74,0,0,0,1,1,0,0
3/26/20,680360,Clear sky,55,41,0,0,1,0,0,0,15,187,27,0,0,0,0,0,0,0,72,0,0,1,0,1,0,0
3/27/20,656817,Clear sky,64,50,0,0,1,0,0,0,21,238,40,0,0,0,0,0,0,0,104,0,0,0,0,1,0,0
3/28/20,332393,Heavy intensity rain,48,50,0,0,1,0,0,0,21,227,19,0,0,0,0,0,0,1,109,0,0,1,0,0,0,0
3/29/20,263700,Drizzle,52,46,0,0,1,0,0,0,15,153,10,0,0,0,0,0,0,1,71,0,0,1,0,1,0,0
3/30/20,545215,Broken clouds,52,46,0,0,1,0,0,0,22,136,19,0,0,0,0,0,0,0,43,0,0,0,0,1,0,0
3/31/20,508106,Overcast clouds,46,45,0,0,1,0,0,0,22,119,18,0,0,0,0,0,0,0,46,0,0,1,0,1,0,0
4/1/20,513481,Broken clouds,52,41,1,0,1,1,0,0,10,171,26,0,0,0,0,1,0,0,72,0,0,0,1,1,1,0
4/2/20,485586,Overcast clouds,55,43,0,0,1,1,0,0,8,181,31,0,0,0,0,1,0,0,81,0,0,0,0,1,1,1
4/3/20,483357,Light intensity drizzle,48,46,1,0,1,1,0,0,11,224,34,0,0,0,0,1,0,0,102,0,1,1,1,1,1,0
4/4/20,282278,Overcast clouds,55,48,0,0,1,1,0,0,14,193,9,0,0,0,0,1,0,1,29,0,0,0,0,1,1,1
4/5/20,227303,Overcast clouds,61,48,1,1,1,1,0,0,13,143,8,0,0,0,0,1,0,1,82,0,0,1,0,0,0,1
4/6/20,445454,Clear sky,63,52,0,0,1,0,0,0,13,98,17,0,0,0,0,1,0,0,35,0,0,1,0,0,0,1
4/7/20,434986,Broken clouds,64,54,0,1,1,1,0,0,12,123,14,0,0,0,0,1,0,0,59,0,0,1,1,1,0,1
4/8/20,427485,Clear sky,64,54,0,0,1,1,0,0,9,109,24,0,0,0,0,1,0,0,40,0,0,1,0,1,0,1
4/9/20,404635,Moderate rain,57,50,0,0,1,1,0,0,6,133,22,0,0,0,0,0,0,0,55,0,0,1,0,1,1,1
4/10/20,400275,Broken clouds,48,45,1,1,1,1,0,0,9,182,34,0,0,0,0,1,0,0,11,0,0,1,1,1,0,0
4/11/20,257061,Broken clouds,52,41,1,1,1,1,0,0,15,173,16,0,0,0,0,0,0,0,89,0,0,1,1,1,1,0
4/12/20,198399,Broken clouds,55,46,0,0,1,1,0,0,7,67,4,0,0,0,0,0,0,0,35,0,0,1,0,1,0,0
