date,ridership
11/14/2020,1215477
11/15/2020,820858
11/16/2020,1741750
11/17/2020,1788847
11/18/2020,1787688
11/19/2020,1757535
11/20/2020,1800423
11/21/2020,1157957
11/22/2020,817963
11/23/2020,1646525
11/24/2020,1735702
11/25/2020,1688227
11/26/2020,652276
11/27/2020,1263473
11/28/2020,1032823
11/29/2020,826974
11/30/2020,1459131
12/1/2020,1706348
12/2/2020,1699968
12/3/2020,1736045
12/4/2020,1701628
12/5/2020,1000240
12/6/2020,878393
12/7/2020,1656627
12/8/2020,1540893
12/9/2020,1701926
12/10/2020,1761336
12/11/2020,1786290
12/12/2020,1091352
12/13/2020,911439
12/14/2020,1584089
12/15/2020,1783388
12/16/2020,1569079
12/17/2020,1079818
12/18/2020,1735664
12/19/2020,1112827
12/20/2020,821265
12/21/2020,1716035
12/22/2020,1760948
12/23/2020,1772537
12/24/2020,1312480
12/25/2020,485208
12/26/2020,879170
12/27/2020,760350
12/28/2020,1510168
12/29/2020,1555198
12/30/2020,1582486
12/31/2020,1274984
1/1/2021,613692
1/2/2021,988418
1/3/2021,653187
1/4/2021,1557977
1/5/2021,1597518
1/6/2021,1613629
1/7/2021,1611099
1/8/2021,1619242
1/9/2021,990412
1/10/2021,763097
1/11/2021,1568207
1/12/2021,1640428
1/13/2021,1641652
1/14/2021,1647396
1/15/2021,1627120
1/16/2021,991500
1/17/2021,797654
1/18/2021,1276978
1/19/2021,1635915
1/20/2021,1575075
1/21/2021,1652842
1/22/2021,1672001
1/23/2021,997551
1/24/2021,741139
1/25/2021,1592468
1/26/2021,1550953
1/27/2021,1660278
1/28/2021,1646806
1/29/2021,1511680
1/30/2021,942615
1/31/2021,722853
2/1/2021,583230
2/2/2021,1005985
2/3/2021,1702598
2/4/2021,1785833
2/5/2021,1741015
2/6/2021,1148477
2/7/2021,652521
2/8/2021,1639753
2/9/2021,1666467
2/10/2021,1750121
2/11/2021,1714656
2/12/2021,1706430
2/13/2021,1092063
2/14/2021,858014
2/15/2021,1218593
2/16/2021,1627528
2/17/2021,1733160
2/18/2021,1381886
2/19/2021,1566021
2/20/2021,1110589
2/21/2021,836095
2/22/2021,1582054
2/23/2021,1730198
2/24/2021,1806306
2/25/2021,1798165
2/26/2021,1822812
2/27/2021,1072932
2/28/2021,810071
3/1/2021,1696274
3/2/2021,1749511
3/3/2021,1846431
3/4/2021,1808744
3/5/2021,1825915
3/6/2021,1167884
3/7/2021,894119
3/8/2021,1719586
3/9/2021,1834068
3/10/2021,1849077
3/11/2021,1881902
3/12/2021,1914465
3/13/2021,1257372
3/14/2021,923968
3/15/2021,1730024
3/16/2021,1798288
3/17/2021,1866414
3/18/2021,1771092
3/19/2021,1906749
3/20/2021,1307403
3/21/2021,1013386
3/22/2021,1801438
3/23/2021,1879574
3/24/2021,1828084
3/25/2021,1925768
3/26/2021,1938246
3/27/2021,1374266
3/28/2021,807247
3/29/2021,1742162
3/30/2021,1881537
3/31/2021,1808546
4/1/2021,1841815
4/2/2021,1757698
4/3/2021,1318461
4/4/2021,950194
4/5/2021,1818703
4/6/2021,1942198
4/7/2021,1985370
4/8/2021,2013413
4/9/2021,2026724
4/10/2021,1391245
4/11/2021,899646
4/12/2021,1845836
4/13/2021,2012153
4/14/2021,2018126
4/15/2021,1906733
4/16/2021,2078856
4/17/2021,1425036
4/18/2021,1082503
4/19/2021,1911326
4/20/2021,2082495
4/21/2021,1965922
4/22/2021,2040232
4/23/2021,2121350
4/24/2021,1520057
4/25/2021,985027
4/26/2021,1955370
4/27/2021,2041698
4/28/2021,2135793
4/29/2021,2028524
4/30/2021,2159476
5/1/2021,1515211
5/2/2021,1153471
5/3/2021,1971010
5/4/2021,2120071
5/5/2021,2074543
5/6/2021,2199943
5/7/2021,2238033
5/8/2021,1444674
5/9/2021,1107878
5/10/2021,1990039
5/11/2021,2148322
5/12/2021,2182277
5/13/2021,2163052
5/14/2021,2266974
5/15/2021,1637231
5/16/2021,1201904
5/17/2021,2022584
5/18/2021,2150049
5/19/2021,2257549
5/20/2021,2269471
5/21/2021,2331876
5/22/2021,1645268
5/23/2021,1268928
5/24/2021,2118877
5/25/2021,2270945
5/26/2021,2275882
5/27/2021,2352019
5/28/2021,2232599
5/29/2021,1370135
5/30/2021,1065176
5/31/2021,1389651
6/1/2021,2258831
6/2/2021,2343745
6/3/2021,2233917
6/4/2021,2310032
6/5/2021,1792204
6/6/2021,1363344
6/7/2021,2223265
6/8/2021,2265591
6/9/2021,2386026
6/10/2021,2473818
6/11/2021,2468258
6/12/2021,1775538
6/13/2021,1379959
6/14/2021,2223186
6/15/2021,2469785
6/16/2021,2519444
6/17/2021,2552497
6/18/2021,2572013
6/19/2021,1784312
6/20/2021,1389352
6/21/2021,2264368
6/22/2021,2354873
6/23/2021,2547416
6/24/2021,2552639
6/25/2021,2582713
6/26/2021,1854179
6/27/2021,1559967
6/28/2021,2252362
6/29/2021,2343739
6/30/2021,2346388
7/1/2021,2292461
7/2/2021,2296044
7/3/2021,1541988
7/4/2021,1468510
7/5/2021,1495709
7/6/2021,2302002
7/7/2021,2437064
7/8/2021,2364250
7/9/2021,2318387
7/10/2021,1781717
7/11/2021,1365854
7/12/2021,2245412
7/13/2021,2457526
7/14/2021,2517615
7/15/2021,2581582
7/16/2021,2536569
7/17/2021,1717480
7/18/2021,1405344
7/19/2021,2327756
7/20/2021,2462002
7/21/2021,2504568
7/22/2021,2582151
7/23/2021,2552330
7/24/2021,1852402
7/25/2021,1364830
7/26/2021,2318455
7/27/2021,2487947
7/28/2021,2534756
7/29/2021,2428764
7/30/2021,2557677
7/31/2021,1841007
8/1/2021,1351294
8/2/2021,2333923
8/3/2021,2483802
8/4/2021,2529002
8/5/2021,2529190
8/6/2021,2519444
8/7/2021,1780458
8/8/2021,1333885
8/9/2021,2289434
8/10/2021,2442194
8/11/2021,2475949
8/12/2021,2448589
8/13/2021,2430102
8/14/2021,1718222
8/15/2021,1430620
8/16/2021,2287627
8/17/2021,2427611
8/18/2021,2445638
8/19/2021,2439624
8/20/2021,2456334
8/21/2021,1715030
